Price,Price per meter,Bedrooms,Bathrooms,Floor,View,Year Built,Payment Method,Seller Type,Area in m²,Governorate
5600000,29473,3,3,3,Garden,2016,Cash,Private Owner,190,Greater Cairo
3075000,25000,3,1,11,Main Street,2024,Cash or Installments,Broker,123,Greater Cairo
8526000,60042,2,3,3,Other,2025,Installments,Broker,142,Greater Cairo
3675000,21000,3,2,3,Main Street,2026,Cash or Installments,Broker,175,Greater Cairo
2926000,22000,3,2,4,Side Street,2026,Installments,Broker,133,Greater Cairo
4800000,40000,2,2,2,Garden,2024,Cash or Installments,Broker,120,Greater Cairo
9500000,73076,3,2,3,Garden,2027,Cash or Installments,Broker,130,Greater Cairo
5850000,27209,3,3,3,Garden,2026,Cash or Installments,Broker,215,Greater Cairo
12000000,83333,2,2,2,Garden,2024,Cash,Broker,144,Greater Cairo
4600000,27218,2,2,2,Sea View,2025,Installments,Broker,169,North Coast
9000000,16071,4,4,7,Corner,2006,Cash,Broker,560,Greater Cairo
4250000,25000,3,2,8,Main Street,2024,Cash or Installments,Broker,170,Greater Cairo
5250000,40384,2,2,3,Other,2027,Installments,Broker,130,Greater Cairo
3990000,30930,3,2,0,Garden,2025,Cash or Installments,Broker,129,Greater Cairo
6600000,28695,3,3,7,Club,1995,Cash,Broker,230,Greater Cairo
14800000,86046,2,3,0,Other,2026,Installments,Broker,172,North Coast
7500000,33482,3,4,13,Corner,1998,Cash,Broker,224,Greater Cairo
16500000,45833,3,4,0,Other,2025,Installments,Broker,360,Greater Cairo
8250000,49698,2,2,2,Garden,2025,Cash,Broker,166,Greater Cairo
3626959,72539,1,1,3,Golf Course,2024,Cash,Broker,50,Greater Cairo
3697500,25500,3,3,0,Main Street,2027,Installments,Broker,145,Greater Cairo
4750000,49479,,,1,Other,2022,Cash,Broker,96,Greater Cairo
3857000,29000,3,3,3,Main Street,2028,Cash or Installments,Broker,133,Greater Cairo
3857000,29000,3,3,2,Main Street,2028,Installments,Broker,133,Greater Cairo
3982000,22000,3,2,3,Main Street,2027,Installments,Broker,181,Greater Cairo
9742000,128184,1,1,4,Garden,2028,Cash or Installments,Broker,76,Greater Cairo
5000000,25000,4,4,2,Sea View,2025,Installments,Broker,200,North Coast
4675000,25000,3,3,1,Other,2026,Installments,Broker,187,Greater Cairo
3325000,25000,3,2,2,Main Street,2027,Cash or Installments,Broker,133,Greater Cairo
3318000,21000,3,3,2,Main Street,2028,Installments,Broker,158,Greater Cairo
10000000,53763,3,3,2,Garden,2025,Cash,Broker,186,Greater Cairo
5800000,31521,3,3,3,Other,2025,Cash,Broker,184,Greater Cairo
4719000,31671,3,3,2,Garden,2028,Cash or Installments,Broker,149,Greater Cairo
2706000,22000,3,3,3,Main Street,2027,Cash or Installments,Broker,123,Greater Cairo
10000000,71428,2,2,2,Sea View,2025,Installments,Broker,140,North Coast
4082400,24300,3,2,1,Other,2026,Installments,Broker,168,Greater Cairo
6000000,21352,3,3,1,Main Street,2025,Installments,Broker,281,Greater Cairo
6500000,40372,2,2,2,Sea View,2025,Installments,Broker,161,North Coast
7293000,68158,3,2,3,Garden,2028,Installments,Private Owner,107,Greater Cairo
2700000,20000,3,1,3,Main Street,1999,Cash,Private Owner,135,Alexandria
5000000,30303,3,1,0,Main Street,2025,Cash or Installments,Broker,165,Greater Cairo
1300000,14444,2,1,3,Other,1985,Cash,Private Owner,90,Alexandria
1600000,17777,1,1,1,Main Street,2026,Cash,Broker,90,Greater Cairo
6599061,34731,3,3,0,Lake,2028,Cash or Installments,Broker,190,Greater Cairo
